day,current_inventory,demand,reorder_method,inventory_reference_day,inventory_reference,effective_reorder_point,effective_reorder_quantity,placed_order_quantity,received_order_quantity,forecast
0,250,,projected_dynamic,15,173,225.0,77,77,0,
1,248,2,projected_dynamic,16,276.0,135.0,0,0,0,5
2,244,4,projected_dynamic,17,267.0,150.0,0,0,0,3.0
3,240,4,projected_dynamic,18,213.0,270.0,87,87,0,3.3333333333333335
4,226,14,projected_dynamic,19,298.0,261.0,0,0,0,6.0
5,221,5,projected_dynamic,20,309.0,225.0,0,0,0,5.8
6,220,1,projected_dynamic,21,304.0,225.0,0,0,0,5.0
7,215,5,projected_dynamic,22,296.12,230.62,0,0,0,5.0
8,209,6,projected_dynamic,23,302.0,210.0,0,0,0,5.125
9,208,1,projected_dynamic,24,304.0,198.0,0,0,0,4.666666666666667
10,206,2,projected_dynamic,25,307.64,184.09,0,0,0,4.4
11,205,1,projected_dynamic,26,306.0,180.0,0,0,0,4.090909090909091
12,202,3,projected_dynamic,27,295.54,190.38,0,0,0,4.0
13,195,7,projected_dynamic,28,300.07,176.79,0,0,0,4.230769230769231
14,195,0,projected_dynamic,29,300.0,171.0,0,0,0,3.9285714285714284
15,280,2,projected_dynamic,30,300.0,168.0,0,0,87,3.8
16,279,1,projected_dynamic,31,304.0,156.0,0,0,0,3.7333333333333334
17,279,0,projected_dynamic,32,298.0,159.0,0,0,0,3.466666666666667
18,274,5,projected_dynamic,33,296.0,141.0,0,0,0,3.533333333333333
19,343,8,projected_dynamic,34,297.0,132.0,0,0,77,3.1333333333333333
20,341,2,projected_dynamic,35,290.0,141.0,0,0,0,2.933333333333333
21,337,4,projected_dynamic,36,295.0,126.0,0,0,0,3.1333333333333333
22,337,0,projected_dynamic,37,297.0,114.0,0,0,0,2.8
23,335,2,projected_dynamic,38,294.0,117.0,0,0,0,2.533333333333333
24,333,2,projected_dynamic,39,286.0,126.0,0,0,0,2.6
25,328,5,projected_dynamic,40,287.0,123.0,0,0,0,2.8
26,328,0,projected_dynamic,41,278.0,132.0,0,0,0,2.7333333333333334
27,322,6,projected_dynamic,42,285.0,111.0,0,0,0,2.933333333333333
28,322,0,projected_dynamic,43,255.0,156.0,0,0,0,2.466666666666667
29,307,15,projected_dynamic,44,237.0,180.0,0,0,0,3.466666666666667
30,297,10,projected_dynamic,45,232.0,186.0,0,0,0,4.0
31,294,3,projected_dynamic,46,230.0,189.0,0,0,0,4.133333333333334
32,293,1,projected_dynamic,47,233.0,177.0,0,0,0,4.2
33,292,1,projected_dynamic,48,241.0,153.0,0,0,0,3.933333333333333
34,292,0,projected_dynamic,49,227.0,171.0,0,0,0,3.4
35,284,8,projected_dynamic,50,223.0,171.0,0,0,0,3.8
36,280,4,projected_dynamic,51,221.0,174.0,0,0,0,3.8
37,279,1,projected_dynamic,52,223.0,168.0,0,0,0,3.8666666666666667
38,279,0,projected_dynamic,53,215.0,177.0,0,0,0,3.7333333333333334
39,274,5,projected_dynamic,54,204.0,186.0,3,0,0,3.933333333333333
40,266,8,projected_dynamic,55,202.0,189.0,8,0,0,4.133333333333334
41,265,1,projected_dynamic,56,198.0,186.0,9,0,0,4.2
42,260,5,projected_dynamic,57,196.0,189.0,14,0,0,4.133333333333334
43,259,1,projected_dynamic,58,209.0,147.0,0,0,0,4.2
44,258,1,projected_dynamic,59,211.0,129.0,0,0,0,3.2666666666666666
45,254,4,projected_dynamic,60,212.0,123.0,0,0,0,2.8666666666666667
46,253,1,projected_dynamic,61,211.0,123.0,0,0,0,2.7333333333333334
47,252,1,projected_dynamic,62,210.0,123.0,0,0,0,2.7333333333333334
48,251,1,projected_dynamic,63,210.0,123.0,0,0,0,2.7333333333333334
49,251,0,projected_dynamic,64,210.0,111.0,0,0,0,2.7333333333333334
50,247,4,projected_dynamic,65,210.0,105.0,0,0,0,2.466666666666667
51,245,2,projected_dynamic,66,211.0,102.0,0,0,0,2.3333333333333335
52,245,0,projected_dynamic,67,209.0,105.0,0,0,0,2.2666666666666666
53,244,1,projected_dynamic,68,212.0,93.0,0,0,0,2.3333333333333335
54,243,1,projected_dynamic,69,220.0,69.0,0,0,0,2.066666666666667
55,243,0,projected_dynamic,70,221.0,66.0,0,0,0,1.5333333333333334
56,243,0,projected_dynamic,71,222.0,57.0,0,0,0,1.4666666666666666
57,241,2,projected_dynamic,72,223.0,54.0,0,0,0,1.2666666666666666
58,241,0,projected_dynamic,73,220.0,57.0,0,0,0,1.2
59,239,2,projected_dynamic,74,216.0,57.0,0,0,0,1.2666666666666666
60,235,4,projected_dynamic,75,213.0,60.0,0,0,0,1.2666666666666666
61,233,2,projected_dynamic,76,196.0,84.0,0,0,0,1.3333333333333333
62,224,9,projected_dynamic,77,185.0,99.0,0,0,0,1.8666666666666667
63,218,6,projected_dynamic,78,181.0,105.0,0,0,0,2.2
64,216,2,projected_dynamic,79,185.0,93.0,0,0,0,2.3333333333333335
65,216,0,projected_dynamic,80,155.0,135.0,0,0,0,2.066666666666667
66,200,16,projected_dynamic,81,123.0,183.0,81,81,0,3.0
67,184,16,projected_dynamic,82,203.0,183.0,1,0,0,4.066666666666666
68,183,1,projected_dynamic,83,190.0,201.0,34,34,0,4.066666666666666
69,176,7,projected_dynamic,84,220.0,207.0,11,0,0,4.466666666666667
70,174,2,projected_dynamic,85,220.0,207.0,11,0,0,4.6
71,174,0,projected_dynamic,86,216.0,210.0,18,0,0,4.6
72,171,3,projected_dynamic,87,210.0,219.0,34,34,0,4.666666666666667
73,168,3,projected_dynamic,88,246.0,213.0,0,0,0,4.866666666666666
74,168,0,projected_dynamic,89,248.0,204.0,0,0,0,4.733333333333333
75,167,1,projected_dynamic,90,232.0,225.0,18,0,0,4.533333333333333
76,158,9,projected_dynamic,91,235.0,207.0,0,0,0,5.0
77,155,3,projected_dynamic,92,227.0,210.0,7,0,0,4.6
78,148,7,projected_dynamic,93,225.0,210.0,9,0,0,4.666666666666667
79,146,2,projected_dynamic,94,225.0,210.0,9,0,0,4.666666666666667
80,146,0,projected_dynamic,95,231.0,177.0,0,0,0,4.666666666666667
81,175,5,projected_dynamic,96,247.0,129.0,0,0,34,3.933333333333333
82,175,0,projected_dynamic,97,146.0,279.0,164,164,0,2.8666666666666667
83,205,51,projected_dynamic,98,315.0,261.0,0,0,81,6.2
84,204,1,projected_dynamic,99,297.0,285.0,20,0,0,5.8
85,194,10,projected_dynamic,100,271.0,324.0,89,89,0,6.333333333333333
86,181,13,projected_dynamic,101,343.0,345.0,41,41,0,7.2
87,205,10,projected_dynamic,102,381.0,345.0,3,0,34,7.666666666666667
88,202,3,projected_dynamic,103,365.0,369.0,45,45,0,7.666666666666667
89,194,8,projected_dynamic,104,395.0,390.0,39,0,0,8.2
90,186,8,projected_dynamic,105,386.0,390.0,48,48,0,8.666666666666666
91,177,9,projected_dynamic,106,425.0,399.0,19,0,0,8.666666666666666
92,171,6,projected_dynamic,107,430.0,381.0,0,0,0,8.866666666666667
93,170,1,projected_dynamic,108,432.0,375.0,0,0,0,8.466666666666667
94,170,0,projected_dynamic,109,432.0,375.0,0,0,0,8.333333333333334
95,170,0,projected_dynamic,110,429.0,372.0,0,0,0,8.333333333333334
96,166,4,projected_dynamic,111,425.0,378.0,0,0,0,8.266666666666667
97,164,2,projected_dynamic,112,472.0,231.0,0,0,0,8.4
98,326,2,projected_dynamic,113,461.0,246.0,0,0,164,5.133333333333334
99,320,6,projected_dynamic,114,469.0,219.0,0,0,0,5.466666666666667
100,319,1,projected_dynamic,115,476.0,189.0,0,0,0,4.866666666666666
101,316,3,projected_dynamic,116,484.0,162.0,0,0,0,4.2
102,315,1,projected_dynamic,117,485.0,156.0,0,0,0,3.6
103,355,1,projected_dynamic,118,493.0,132.0,0,0,41,3.466666666666667
104,355,0,projected_dynamic,119,499.0,111.0,0,0,0,2.933333333333333
105,402,1,projected_dynamic,120,504.0,90.0,0,0,48,2.466666666666667
106,400,2,projected_dynamic,121,478.0,120.0,0,0,0,2.0
107,518,16,projected_dynamic,122,475.0,123.0,0,0,134,2.6666666666666665
108,516,2,projected_dynamic,123,467.0,135.0,0,0,0,2.7333333333333334
109,512,4,projected_dynamic,124,465.0,138.0,0,0,0,3.0
